ID,Expediente Nº,Año,Localidad,Elementos
8502,4364,2010,PTO MADRYN,1 videoproyector
8503,4364,2010,COMODORO RIVADAVIA,1 equipo de sonido
8504,4371,2010,RAWSON,"4 radiograbadores, 1 guitarra, 1 bombo legüero, 1 teclado"
8505,4371,2010,RAWSON, 1 videoproyector
8506,4362,2010,ESQUEL,2 radiograbadores
8507,4367,2010,EL MAITEN,"1 radiograbador, 1 impresora, 1 PC, 1 equipo de sonido"
8508,3516,2010,ESQUEL,1 notebook
8509,3643,2010,TRELEW,1 heladera con freezer
8510,4413,2010,TELSEN,1 equipo de sonido
8511,4429,2010,COMODORO RIVADAVIA,100 sillas plásticas apilables
8512,4213,2010,CHOLILA,4 PC
8513,4213,2010,CHOLILA,1 impresora
8514,4559,2010,CHOLILA,"1 TV de 29"""
8515,4559,2010,CHOLILA,1 DVd
8516,4454,2010,EL HOYO,"1 bombo murguero, 1 zurdo, 1 xilofon"
8517,4713,2010,SEPAUCAL,2 PC
8518,3981,2010,JOSE DE SAN MARTIN,1 PC
8519,2195,2010,JOSE DE SAN MARTIN,1 impresora
8520,497,2010,JOSE DE SAN MARTIN,1 procesador  de películas radiográficas
8521,2195,2010,JOSE DE SAN MARTIN,3 PC
8522,4103,2010,PTO MADRYN,2 máquinas de coser
8523,2841,2010,TRELEW,1 fotocopiadora
8524,2843,2010,COMODORO RIVADAVIA,"1 termotanque, 2 caloramas"
8525,2461,2010,COMODORO RIVADAVIA,"2 extractores de aire, 1 termotanque"
8527,1565,2010,TRELEW,1 impresora
8528,3973,2010,TRELEW, 1 impresora
8529,1615,2010,TRELEW,1 multiprocesadora
8530,1987,2010,TRELEW,1 impresora laser
8531,1987,2010,TRELEW,1 PC
8532,1166,2010,DOLAVON,1 impresora
8533,1166,2010,DOLAVON,1 PC
8534,3472,2010,RAWSON,1 máquina de coser
8535,2202,2010,TRELEW,1 fotocopiadora
8536,4714,2010,ALTO RIO SENGUER,"10 mesas plasticas, 100 sillas plasticas apilables"
8537,4025,2010,PTO MADRYN,50 colchones
